name,teams,pop
"New York-Newark-Jersey City, NY-NJ-PA MSA",10,20140470
"Los Angeles-Long Beach-Anaheim, CA MSA",7,13200998
"Chicago-Naperville-Elgin, IL-IN-WI MSA",5,9618502
"Dallas-Fort Worth-Arlington, TX MSA",4,7637387
"Houston-The Woodlands-Sugar Land, TX MSA",4,7122240
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",4,6385162
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",4,6245051
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",3,6138333
"Atlanta-Sandy Springs-Alpharetta, GA MSA",3,6089815
Toronto Ontario,3,5928040
"Boston-Cambridge-Newton, MA-NH MSA",3,4941632
"Phoenix-Mesa-Chandler, AZ MSA",3,4845832
"San Francisco-Oakland-Berkeley, CA MSA",3,4749008
"Riverside-San Bernardino-Ontario, CA MSA",3,4599839
"Detroit–Warren–Dearborn, MI MSA",3,4392041
Montreal Quebec,2,4098927
"Seattle-Tacoma-Bellevue, WA MSA",2,4018762
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",2,3690261
"San Diego-Chula Vista-Carlsbad, CA MSA",2,3298634
"Tampa-St. Petersburg-Clearwater, FL MSA",2,3175275
"Denver-Aurora-Lakewood, CO MSA",2,2963821
"Baltimore-Columbia-Towson, MD MSA",2,2844510
"St. Louis, MO-IL MSA",2,2820253
"Orlando-Kissimmee-Sanford, FL MSA",2,2673376
"Charlotte-Concord-Gastonia, NC-SC MSA",2,2660329
"San Antonio-New Braunfels, TX MSA",2,2558143
"Portland-Vancouver-Hillsboro, OR-WA MSA",2,2512859
Vancouver British Columbia,2,2463431
"Sacramento-Roseville-Folsom, CA MSA",2,2397382
"Pittsburgh, PA MSA",2,2370930
"Austin-Round Rock-Georgetown, TX MSA",2,2283371
"Las Vegas-Henderson-Paradise, NV MSA",2,2265461
"Cincinnati, OH-KY-IN MSA",2,2256884
"Kansas City, MO-KS MSA",2,2192035
"Columbus, OH MSA",2,2138926
"Indianapolis-Carmel-Anderson, IN MSA",2,2111040
"Cleveland-Elyria, OH MSA",2,2088251
"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",1,2002906
"San Jose-Sunnyvale-Santa Clara, CA MSA",1,2000468
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",1,1989519
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1,1799674
"Providence-Warwick, RI-MA MSA",1,1676579
"Jacksonville, FL MSA",1,1605848
"Milwaukee-Waukesha, WI MSA",1,1574731
"Oklahoma City, OK MSA",1,1425695
"Raleigh-Cary, NC MSA",1,1413982
Calgary Alberta,1,1392609
"Memphis, TN-MS-AR MSA",1,1337779
Ottawa–Gatineau Ontario–Quebec,1,1323783
Edmonton Alberta,1,1321426
"Richmond, VA MSA",1,1314434
"Louisville/Jefferson County, KY-IN MSA",1,1285439
"New Orleans-Metairie, LA MSA",1,1271845
"Salt Lake City, UT MSA",1,1257936
"Hartford-East Hartford-Middletown, CT MSA",1,1213531
"Buffalo-Niagara Falls, NY MSA",1,1166902
"Birmingham-Hoover, AL MSA",1,1115289
"Rochester, NY MSA",1,1090135
"Grand Rapids-Kentwood, MI MSA",1,1087592